
D: 4 M: 0.4 T: 1000 delta: 0.75 epsilon: 1e-05


D: 4 M: 0.4 T: 1000 delta: 0.75 epsilon: 1e-05


D: 4 M: 0.4 T: 1000 delta: 0.75 epsilon: 1e-05


D: 4 M: 0.4 T: 1000 delta: 0.75 epsilon: 1e-05


D: 4 M: 0.4 T: 1000 delta: 0.75 epsilon: 1e-05


D: 4 M: 0.4 T: 1000 delta: 0.75 epsilon: 1e-05

r((0.0, 0.0))	 p((0.0, 0.0))	 payoff: 0.75
r((0.0, 0.25))	 p((0.0, 0.0))	 payoff: 0.75
r((0.0, 0.5))	 p((0.0, 0.0))	 payoff: 0.75
r((0.0, 0.75))	 p((0.0, 0.0))	 payoff: 0.75
r((0.0, 1.0))	 p((0.0, 0.0))	 payoff: 0.75
r((0.25, 0.0))	 p((0.0, 0.0))	 payoff: 0.75
r((0.25, 0.25))	 p((0.0, 0.0))	 payoff: 0.75
r((0.25, 0.5))	 p((0.0, 0.0))	 payoff: 0.75
r((0.25, 0.75))	 p((0.0, 0.0))	 payoff: 0.75
r((0.25, 1.0))	 p((0.0, 0.0))	 payoff: 0.75
r((0.5, 0.0))	 p((0.0, 0.0))	 payoff: 0.75
r((0.5, 0.25))	 p((0.0, 0.0))	 payoff: 0.75
r((0.5, 0.5))	 p((0.0, 0.0))	 payoff: 0.75
r((0.5, 0.75))	 p((0.0, 0.0))	 payoff: 0.75
r((0.5, 1.0))	 p((0.0, 0.0))	 payoff: 0.75
r((0.75, 0.0))	 p((0.0, 0.0))	 payoff: 0.75
r((0.75, 0.25))	 p((0.0, 0.0))	 payoff: 0.75
r((0.75, 0.5))	 p((0.0, 0.0))	 payoff: 0.75
r((0.75, 0.75))	 p((0.0, 0.0))	 payoff: 0.75
r((0.75, 1.0))	 p((0.0, 0.0))	 payoff: 0.75
r((1.0, 0.0))	 p((0.0, 0.0))	 payoff: 0.75
r((1.0, 0.25))	 p((0.0, 0.0))	 payoff: 0.75
r((1.0, 0.5))	 p((0.0, 0.0))	 payoff: 0.75
r((1.0, 0.75))	 p((0.0, 0.0))	 payoff: 0.75
r((1.0, 1.0))	 p((0.0, 0.0))	 payoff: 0.75
r((0.0, 0.0))	 p((0.0, 0.25))	 payoff: 0.75
r((0.0, 0.25))	 p((0.0, 0.25))	 payoff: 0.75
r((0.0, 0.5))	 p((0.0, 0.25))	 payoff: 0.75
r((0.0, 0.75))	 p((0.0, 0.25))	 payoff: 0.75
r((0.0, 1.0))	 p((0.0, 0.25))	 payoff: 0.75
r((0.25, 0.0))	 p((0.0, 0.25))	 payoff: 0.75
r((0.25, 0.25))	 p((0.0, 0.25))	 payoff: 0.75
r((0.25, 0.5))	 p((0.0, 0.25))	 payoff: 0.75
r((0.25, 0.75))	 p((0.0, 0.25))	 payoff: 0.75
r((0.25, 1.0))	 p((0.0, 0.25))	 payoff: 0.75
r((0.5, 0.0))	 p((0.0, 0.25))	 payoff: 0.75
r((0.5, 0.25))	 p((0.0, 0.25))	 payoff: 0.75
r((0.5, 0.5))	 p((0.0, 0.25))	 payoff: 0.75
r((0.5, 0.75))	 p((0.0, 0.25))	 payoff: 0.75
r((0.5, 1.0))	 p((0.0, 0.25))	 payoff: 0.75
r((0.75, 0.0))	 p((0.0, 0.25))	 payoff: 0.75
r((0.75, 0.25))	 p((0.0, 0.25))	 payoff: 0.75
r((0.75, 0.5))	 p((0.0, 0.25))	 payoff: 0.75
r((0.75, 0.75))	 p((0.0, 0.25))	 payoff: 0.75
r((0.75, 1.0))	 p((0.0, 0.25))	 payoff: 0.75
r((1.0, 0.0))	 p((0.0, 0.25))	 payoff: 0.75
r((1.0, 0.25))	 p((0.0, 0.25))	 payoff: 0.75

D: 4 M: 0.4 T: 1000 delta: 0.2 epsilon: 1e-05

r((0.0, 0.0))	 p((0.0, 0.0))	 payoff: 0.25
r((0.0, 0.25))	 p((0.0, 0.0))	 payoff: 0.25
r((0.0, 0.5))	 p((0.0, 0.0))	 payoff: 0.25
r((0.0, 0.75))	 p((0.0, 0.0))	 payoff: 0.25
r((0.0, 1.0))	 p((0.0, 0.0))	 payoff: 0.25
r((0.25, 0.0))	 p((0.0, 0.0))	 payoff: 0.25
r((0.25, 0.25))	 p((0.0, 0.0))	 payoff: 0.25
r((0.25, 0.5))	 p((0.0, 0.0))	 payoff: 0.25
r((0.25, 0.75))	 p((0.0, 0.0))	 payoff: 0.25
r((0.25, 1.0))	 p((0.0, 0.0))	 payoff: 0.25
r((0.5, 0.0))	 p((0.0, 0.0))	 payoff: 0.25
r((0.5, 0.25))	 p((0.0, 0.0))	 payoff: 0.25
r((0.5, 0.5))	 p((0.0, 0.0))	 payoff: 0.25
r((0.5, 0.75))	 p((0.0, 0.0))	 payoff: 0.25
r((0.5, 1.0))	 p((0.0, 0.0))	 payoff: 0.25
r((0.75, 0.0))	 p((0.0, 0.0))	 payoff: 0.25
r((0.75, 0.25))	 p((0.0, 0.0))	 payoff: 0.25
r((0.75, 0.5))	 p((0.0, 0.0))	 payoff: 0.25
r((0.75, 0.75))	 p((0.0, 0.0))	 payoff: 0.25
r((0.75, 1.0))	 p((0.0, 0.0))	 payoff: 0.25
r((1.0, 0.0))	 p((0.0, 0.0))	 payoff: 0.25
r((1.0, 0.25))	 p((0.0, 0.0))	 payoff: 0.25
r((1.0, 0.5))	 p((0.0, 0.0))	 payoff: 0.25
r((1.0, 0.75))	 p((0.0, 0.0))	 payoff: 0.25
r((1.0, 1.0))	 p((0.0, 0.0))	 payoff: 0.25
r((0.0, 0.0))	 p((0.0, 0.25))	 payoff: 0.25
r((0.0, 0.25))	 p((0.0, 0.25))	 payoff: 0.25
r((0.0, 0.5))	 p((0.0, 0.25))	 payoff: 0.25
r((0.0, 0.75))	 p((0.0, 0.25))	 payoff: 0.25
r((0.0, 1.0))	 p((0.0, 0.25))	 payoff: 0.25
r((0.25, 0.0))	 p((0.0, 0.25))	 payoff: 0.25
r((0.25, 0.25))	 p((0.0, 0.25))	 payoff: 0.25
r((0.25, 0.5))	 p((0.0, 0.25))	 payoff: 0.25
r((0.25, 0.75))	 p((0.0, 0.25))	 payoff: 0.25
r((0.25, 1.0))	 p((0.0, 0.25))	 payoff: 0.25
r((0.5, 0.0))	 p((0.0, 0.25))	 payoff: 0.25
r((0.5, 0.25))	 p((0.0, 0.25))	 payoff: 0.25
r((0.5, 0.5))	 p((0.0, 0.25))	 payoff: 0.25
r((0.5, 0.75))	 p((0.0, 0.25))	 payoff: 0.25
r((0.5, 1.0))	 p((0.0, 0.25))	 payoff: 0.25
r((0.75, 0.0))	 p((0.0, 0.25))	 payoff: 0.25
r((0.75, 0.25))	 p((0.0, 0.25))	 payoff: 0.25
r((0.75, 0.5))	 p((0.0, 0.25))	 payoff: 0.25
r((0.75, 0.75))	 p((0.0, 0.25))	 payoff: 0.25
r((0.75, 1.0))	 p((0.0, 0.25))	 payoff: 0.25
r((1.0, 0.0))	 p((0.0, 0.25))	 payoff: 0.25
r((1.0, 0.25))	 p((0.0, 0.25))	 payoff: 0.25
r((1.0, 0.5))	 p((0.0, 0.25))	 payoff: 0.25
r((1.0, 0.75))	 p((0.0, 0.25))	 payoff: 0.25
r((1.0, 1.0))	 p((0.0, 0.25))	 payoff: 0.25
r((0.0, 0.0))	 p((0.0, 0.5))	 payoff: 0.25
r((0.0, 0.25))	 p((0.0, 0.5))	 payoff: 0.25
r((0.0, 0.5))	 p((0.0, 0.5))	 payoff: 0.25
r((0.0, 0.75))	 p((0.0, 0.5))	 payoff: 0.25
r((0.0, 1.0))	 p((0.0, 0.5))	 payoff: 0.25
r((0.25, 0.0))	 p((0.0, 0.5))	 payoff: 0.25
r((0.25, 0.25))	 p((0.0, 0.5))	 payoff: 0.25
r((0.25, 0.5))	 p((0.0, 0.5))	 payoff: 0.25
r((0.25, 0.75))	 p((0.0, 0.5))	 payoff: 0.25
r((0.25, 1.0))	 p((0.0, 0.5))	 payoff: 0.25
r((0.5, 0.0))	 p((0.0, 0.5))	 payoff: 0.25
r((0.5, 0.25))	 p((0.0, 0.5))	 payoff: 0.25
r((0.5, 0.5))	 p((0.0, 0.5))	 payoff: 0.25
r((0.5, 0.75))	 p((0.0, 0.5))	 payoff: 0.25
r((0.5, 1.0))	 p((0.0, 0.5))	 payoff: 0.25
r((0.75, 0.0))	 p((0.0, 0.5))	 payoff: 0.25
r((0.75, 0.25))	 p((0.0, 0.5))	 payoff: 0.25
r((0.75, 0.5))	 p((0.0, 0.5))	 payoff: 0.25
r((0.75, 0.75))	 p((0.0, 0.5))	 payoff: 0.25
r((0.75, 1.0))	 p((0.0, 0.5))	 payoff: 0.25
r((1.0, 0.0))	 p((0.0, 0.5))	 payoff: 0.25
r((1.0, 0.25))	 p((0.0, 0.5))	 payoff: 0.25
r((1.0, 0.5))	 p((0.0, 0.5))	 payoff: 0.25
r((1.0, 0.75))	 p((0.0, 0.5))	 payoff: 0.25
r((1.0, 1.0))	 p((0.0, 0.5))	 payoff: 0.25
r((0.0, 0.0))	 p((0.0, 0.75))	 payoff: 0.25
r((0.0, 0.25))	 p((0.0, 0.75))	 payoff: 0.25
r((0.0, 0.5))	 p((0.0, 0.75))	 payoff: 0.25
r((0.0, 0.75))	 p((0.0, 0.75))	 payoff: 0.25
r((0.0, 1.0))	 p((0.0, 0.75))	 payoff: 0.25
r((0.25, 0.0))	 p((0.0, 0.75))	 payoff: 0.25
r((0.25, 0.25))	 p((0.0, 0.75))	 payoff: 0.25
r((0.25, 0.5))	 p((0.0, 0.75))	 payoff: 0.25
r((0.25, 0.75))	 p((0.0, 0.75))	 payoff: 0.25
r((0.25, 1.0))	 p((0.0, 0.75))	 payoff: 0.25
r((0.5, 0.0))	 p((0.0, 0.75))	 payoff: 0.25
r((0.5, 0.25))	 p((0.0, 0.75))	 payoff: 0.25
r((0.5, 0.5))	 p((0.0, 0.75))	 payoff: 0.25
r((0.5, 0.75))	 p((0.0, 0.75))	 payoff: 0.25
r((0.5, 1.0))	 p((0.0, 0.75))	 payoff: 0.25
r((0.75, 0.0))	 p((0.0, 0.75))	 payoff: 0.25
r((0.75, 0.25))	 p((0.0, 0.75))	 payoff: 0.25
r((0.75, 0.5))	 p((0.0, 0.75))	 payoff: 0.25
r((0.75, 0.75))	 p((0.0, 0.75))	 payoff: 0.25
r((0.75, 1.0))	 p((0.0, 0.75))	 payoff: 0.25
r((1.0, 0.0))	 p((0.0, 0.75))	 payoff: 0.25
r((1.0, 0.25))	 p((0.0, 0.75))	 payoff: 0.25
r((1.0, 0.5))	 p((0.0, 0.75))	 payoff: 0.25
r((1.0, 0.75))	 p((0.0, 0.75))	 payoff: 0.25
r((1.0, 1.0))	 p((0.0, 0.75))	 payoff: 0.25
r((0.0, 0.0))	 p((0.0, 1.0))	 payoff: 0.25
